,Unnamed: 0,x,y,elevation,ssssHCP1.6f450h0.15,HCP1.6f1530h0.15,HCP1.6f5310h0.15,HCP1.6f18330h0.15,HCP1.6f63030h0.15
26227,26227,344127.27,4482819.29,2107.17,375.5568178,106.0602668,54.41124063,38.86604323,34.22232288
26232,26232,344127.55,4482819.07,2107.18,251.9836729,91.05661929,41.36745007,34.43963275,29.76400192
26237,26237,344127.86,4482818.81,2107.21,298.5984535,76.69968073,32.72128032,30.22914474,26.62433927
26242,26242,344128.21,4482818.52,2107.26,257.2608178,82.64940302,33.35483586,29.36545489,24.67774843
26247,26247,344128.55,4482818.23,2107.3,326.3034647,77.60507326,40.24941087,30.98487336,25.83942361
26252,26252,344128.88,4482817.94,2107.34,287.6044015,104.12014,51.42980278,35.6272063,28.94768963
26257,26257,344129.18,4482817.69,2107.38,247.14629,122.3573322,55.90195955,38.32623708,31.3966265
26262,26262,344129.45,4482817.47,2107.42,347.8518067,116.1489263,61.86483523,39.72973308,32.65249156
26267,26267,344129.76,4482817.24,2107.46,288.0441636,115.5022174,61.86483523,39.72973308,32.33852529
26272,26272,344130.11,4482817,2107.49,391.8280149,110.199204,64.84627308,39.0819657,31.71059276
26277,26277,344130.44,4482816.75,2107.51,434.9246989,122.486674,60.00143658,37.0307023,28.88489638
26282,26282,344130.75,4482816.51,2107.54,325.4239405,107.8710518,57.7653582,35.6272063,28.22556722
26287,26287,344131.06,4482816.27,2107.56,279.688684,107.2243429,56.64731901,34.87147768,27.12668529
26292,26292,344131.39,4482816.04,2107.59,223.3991375,99.46383556,53.66588117,33.46798167,26.53014939
26297,26297,344131.76,4482815.81,2107.59,298.1586914,113.1740652,50.31176359,31.95652444,25.7138371
26302,26302,344132.17,4482815.56,2107.58,328.5022751,103.6027728,48.82104467,29.90526104,24.48936867
26307,26307,344132.54,4482815.32,2107.58,78.27765056,99.98120271,46.95764602,29.79729981,23.20210698
26312,26312,344132.89,4482815.07,2107.6,439.7620818,89.89254319,49.93908386,30.33710597,23.98702264
26317,26317,344133.21,4482814.84,2107.63,233.5136654,105.0255325,49.56640413,30.87691213,25.2428877
26322,26322,344133.5,4482814.61,2107.67,124.8924312,97.00634157,44.72156764,31.41671828,25.05450794
26327,26327,344133.77,4482814.4,2107.7,201.8507955,92.73806254,44.34888791,30.22914474,24.23819565
26332,26332,344134,4482814.21,2107.71,264.2970112,102.8267221,42.48548926,29.25749366,22.69976096
26337,26337,344134.21,4482814.05,2107.73,233.5136654,89.37517603,40.24941087,28.39380381,22.16601831
26342,26342,344134.4,4482813.91,2107.76,315.7491747,87.30570741,39.50405141,26.66642411,21.28691276
26347,26347,344134.52,4482813.8,2107.78,347.8518067,82.39071944,40.24941087,26.34254041,20.87875662
26396,26396,344133.86,4482814.87,2107.55,343.4541859,86.91768205,42.48548926,27.53011396,21.63227566
26401,26401,344133.76,4482815.04,2107.47,152.1576803,77.21704789,41.36745007,28.28584258,22.66836433
26406,26406,344133.72,4482815.22,2107.38,58.92811896,99.46383556,41.36745007,29.04157119,22.6369677
26411,26411,344133.86,4482815.42,2107.26,540.9073606,79.54520009,39.87673114,27.63807519,21.75786216
